A B crs
48 32 3.398432055758138
48 33 1.0698174967818903
48 34 0.6582216500745779
48 35 17.024179423116845
48 36 4.442801384831513
48 37 2.6288423604558533
48 38 19.321033656098624
48 39 0
48 40 1.4904835001313501
48 41 5.445738134220082
48 42 0.8877521338441349
48 43 3.3440624220262487
48 44 2.3066863661988473
48 45 2.8930478703988993
48 46 3.1091507224466746
48 47 1.5004816467368416
49 01 2.1651934194564952
49 02 3.130075035172351
49 03 4.9327702584852355
49 04 4.42249974627854
49 05 0.1514766148459469
49 06 1.742329690218
49 07 6.802558472571253
49 08 6.589820666366346
49 09 1.0103817037477234
49 10 0.6951659992791471
49 11 4.0660768100535725
49 12 4.602398755783084
49 13 1.6272559214640454
49 14 2.401824803106821
49 15 1.2251841418601777
49 16 2.385015935805694
49 17 6.99696214220529
49 18 3.9132989313729647
49 19 1.727797333448198
49 20 2.834462994417795
49 21 3.0747029073768406
49 22 4.34425923055649
49 23 2.915568629584442
49 24 0
49 25 5.550533412331381
49 26 2.136102776675055
49 27 0.2950973439985907
49 28 1.0802981798135918
49 29 3.9051395100733157
49 30 4.249682964430954
49 31 2.8260957489957446
49 32 0
49 33 0.628538056545448
49 34 0.2515654198095378
49 35 13.793468346006126
49 36 1.0201238007454512
49 37 0
49 38 15.952528002661886
49 39 1.1607946353434981
49 40 0.5657047581258071
49 41 2.9469210429593375
49 42 1.6798180986776123
49 43 5.4439083561465145
49 44 3.564349935144477
49 45 0.9836072457668998
49 46 3.9646363153960116
49 47 0
49 48 2.1682191851607624
50 01 0.745706007004091
50 02 1.5168479945135067
50 03 2.1609194198615214
50 04 3.082173880525084
50 05 2.073829377689646
50 06 3.0762580476861765
50 07 2.2909707810304716
50 08 1.0206492523767718
50 09 0.9255561138081071
50 10 3.322837885656085
50 11 5.1396589259202665
50 12 0.31798034494900373
50 13 1.8834056517579574
50 14 3.529155642077185
50 15 5.962578866965253
50 16 0.4619408662999833
50 17 1.7366526560773858
50 18 3.0057570691063047
50 19 0
50 20 0.86078830672317
50 21 5.156200286525349
50 22 0
50 23 2.621044305516228
50 24 2.9275482147111394
50 25 0
50 26 0
50 27 4.89186196662424
50 28 1.2486552441229675
50 29 4.502120526977895
50 30 2.212716968573152
50 31 0
50 32 4.671560044369869
50 33 2.958617504062406
50 34 1.8306978712022435
50 35 16.339024959804128
50 36 5.856220092748123
50 37 2.930698419005753
50 38 18.824939583968415
50 39 1.8407269256449206
50 40 1.0334263337582983
50 41 4.4986709960644005
50 42 0
50 43 0
50 44 0
50 45 1.4953560296899162
50 46 0.7575521425598772
50 47 1.8281951607231444
50 48 1.2694982751250516
50 49 3.064641116603787
51 01 7.086422229111695
51 02 3.493681286961423
51 03 4.779610730581052
51 04 2.241433344837324
51 05 4.167821754293336
51 06 2.1467738767369067
51 07 7.113022601197675
51 08 8.691446718300275
51 09 5.755911435718377
51 10 3.1743581732943165
51 11 0.14161306554036052
51 12 5.9866171121974485
51 13 2.628312551992541
51 14 1.4716911939687276
51 15 7.3973773456970635
51 16 4.200454302183382
